date,days
1990-02-06,1990-02-07
1990-03-27,1990-03-29
1990-05-15,1990-05-17
1990-07-03,1990-07-05
1990-08-21,1990-08-23
1990-10-02,1990-10-04
1990-11-14,1990-11-15
1991-01-30,1991-02-01
1991-03-26,1991-03-28
1991-05-14,1991-05-16
1991-07-02,1991-07-03
1991-08-20,1991-08-22
1991-10-01,1991-10-02
1991-11-13,1991-11-14
1991-12-20,1991-12-20
1992-02-05,1992-02-06
1992-03-31,1992-04-01
1992-05-19,1992-05-20
1992-07-07,1992-07-08
1992-08-18,1992-08-19
1992-10-06,1992-10-07
1992-11-17,1992-11-18
1992-12-22,1992-12-22
1993-02-03,1993-02-04
1993-03-30,1993-03-31
1993-05-18,1993-05-19
1993-07-06,1993-07-07
1993-08-17,1993-08-18
1993-10-05,1993-10-06
1993-11-16,1993-11-17
1993-12-21,1993-12-21
1994-02-04,1994-02-04
1994-03-22,1994-03-22
1994-05-17,1994-05-17
1994-07-06,1994-07-06
1994-08-16,1994-08-16
1994-09-27,1994-09-27
1994-11-15,1994-11-15
1994-12-20,1994-12-20
1995-02-02,1995-02-03
1995-03-28,1995-03-29
1995-05-23,1995-05-24
1995-07-06,1995-07-06
1995-08-22,1995-08-23
1995-09-26,1995-09-27
1995-11-15,1995-11-15
1995-12-19,1995-12-19
1996-01-31,1996-02-01
1996-03-26,1996-03-27
1996-05-21,1996-05-22
1996-07-03,1996-07-04
1996-08-20,1996-08-21
1996-09-24,1996-09-25
1996-11-14,1996-11-14
1996-12-17,1996-12-18
1997-02-05,1997-02-06
1997-03-25,1997-03-26
1997-05-20,1997-05-21
1997-07-02,1997-07-03
1997-08-19,1997-08-20
1997-09-30,1997-10-01
1997-11-12,1997-11-13
1997-12-16,1997-12-17
1998-02-04,1998-02-05
1998-03-31,1998-04-01
1998-05-19,1998-05-20
1998-06-30,1998-07-01
1998-08-18,1998-08-19
1998-09-29,1998-09-30
1998-11-17,1998-11-18
1998-12-22,1998-12-22
1999-02-03,1999-02-04
1999-03-30,1999-03-31
1999-05-19,1999-05-20
1999-06-30,1999-07-01
1999-08-24,1999-08-25
1999-10-05,1999-10-06
1999-11-16,1999-11-17
1999-12-21,1999-12-22
2000-02-02,2000-02-03
2000-03-21,2000-03-22
2000-05-16,2000-05-17
2000-06-28,2000-06-29
2000-08-22,2000-08-23
2000-10-03,2000-10-04
2000-11-15,2000-11-16
2000-12-19,2000-12-20
2001-01-03,2001-01-04
2001-01-31,2001-02-01
2001-03-20,2001-03-21
2001-04-18,2001-04-18
2001-05-15,2001-05-16
2001-06-27,2001-06-28
2001-08-21,2001-08-22
2001-09-17,2001-09-17
2001-10-02,2001-10-02
2001-11-06,2001-11-07
2001-12-11,2001-12-11
2002-01-30,2002-01-31
2002-03-19,2002-03-20
2002-05-07,2002-05-08
2002-06-26,2002-06-27
2002-08-13,2002-08-14
2002-09-24,2002-09-25
2002-11-06,2002-11-07
2002-12-10,2002-12-11
2003-01-29,2003-01-30
2003-03-18,2003-03-19
2003-05-06,2003-05-07
